"price","bedrooms"
220000000,0
40000000,5
9500000,3
125000000,8
21000000,6
52000000,5
16500000,6
32500000,5
31500000,6
40000000,6
13500000,4
87500000,4
8500000,4
16500000,4
18500000,0
23500000,4
22500000,4
50000000,6
39500000,6
27500000,4
40000000,6
50000000,5
45000000,5
3200000,3
21200000,3
23000000,4
21500000,4
21500000,4
40000000,5
26000000,4
21000000,4
23000000,4
23000000,5
57500000,5
620000000,8
5500000,3
50000000,5
12000000,6
65000000,0
1250000000,0
42500000,8
66500000,0
12000000,5
40000000,6
180000000,5
17000000,5
47500000,0
17000000,5
25000000,4
17600000,5